t1,t2,allow%,step%,deny%,expected_cost
0.5,0.7722222222222221,53.56757291685409,38.75883908811199,7.673587995033918,172328.0
0.5,0.8166666666666667,53.56757291685409,44.22332979469925,2.2090972884466598,196624.0
0.5,0.861111111111111,53.56757291685409,45.26782661892509,1.1646004642208108,201268.0
0.5,0.9055555555555554,53.56757291685409,45.463950914946835,0.9684761681990752,202140.0
0.5,0.95,53.56757291685409,45.621390143404646,0.8110369397412599,202840.0
0.45,0.8,49.78048473289311,45.856649333357325,4.362865933749573,203886.0
0.45,0.85,49.78048473289311,48.97889414685931,1.2406211202475843,217768.0
0.45,0.8999999999999999,49.78048473289311,49.24699066160462,0.972524605502276,218960.0
0.45,0.95,49.78048473289311,49.408478327365636,0.8110369397412599,219678.0
0.4,0.7833333333333333,33.7045900282491,59.9798477787574,6.315562192993504,266680.0
0.45,0.75,49.78048473289311,39.92433920506684,10.295176062040053,278970.0
0.4,0.8388888888888888,33.7045900282491,65.01115569390215,1.2842542778487505,289050.0
0.4,0.8944444444444444,33.7045900282491,65.29769508969537,0.9977148820555266,290324.0
0.4,0.95,33.7045900282491,65.48437303200964,0.8110369397412599,291154.0
0.35000000000000003,0.7666666666666666,22.445885888047215,68.89495654677295,8.659157565179841,335038.0
0.35000000000000003,0.8277777777777777,22.445885888047215,76.08588084999191,1.468233261960883,338290.0
0.35000000000000003,0.8888888888888888,22.445885888047215,76.53255843244507,1.02155567950771,340276.0
0.35000000000000003,0.95,22.445885888047215,76.74307717221153,0.8110369397412599,341212.0
0.3,0.8166666666666667,15.663853752451553,82.12704895910178,2.2090972884466598,365150.0
0.3,0.8833333333333333,15.663853752451553,83.29434838152473,1.0417978660237148,370340.0
0.3,0.95,15.663853752451553,83.52510930780718,0.8110369397412599,371366.0
0.5,0.7277777777777777,53.56757291685409,33.11351818198175,13.31890890116415,383128.0
0.1,0.7722222222222221,0.0,92.32641200496609,7.673587995033918,410498.0
0.15000000000000002,0.7833333333333332,0.0,93.68443780700649,6.315562192993504,416536.0
0.2,0.7944444444444445,0.0,94.96914191122227,5.030858088777731,422248.0
0.25,0.8055555555555556,0.0,96.29433038847004,3.7056696115299492,428140.0
0.3,0.75,15.663853752451553,74.0409701855084,10.295176062040053,430658.0
0.05,0.8555555555555555,0.0,98.79041689907696,1.2095831009230438,439238.0
0.1,0.861111111111111,0.0,98.83539953577919,1.1646004642208108,439438.0
0.15000000000000002,0.8666666666666667,0.0,98.88533026251866,1.1146697374813321,439660.0
0.2,0.8722222222222222,0.0,98.90692192813574,1.0930780718642605,439756.0
0.25,0.8777777777777778,0.0,98.92086654551343,1.0791334544865683,439818.0
0.15000000000000002,0.95,0.0,99.18896306025874,0.8110369397412599,441010.0
0.2,0.95,0.0,99.18896306025874,0.8110369397412599,441010.0
0.05,0.95,0.0,99.18896306025874,0.8110369397412599,441010.0
0.1,0.95,0.0,99.18896306025874,0.8110369397412599,441010.0
0.25,0.95,0.0,99.18896306025874,0.8110369397412599,441010.0
0.05,0.7611111111111111,0.0,90.74797128308472,9.252028716915271,458560.0
0.4,0.7277777777777779,33.7045900282491,52.97650107058676,13.31890890116415,471442.0
0.45,0.7,49.78048473289311,33.321787789913095,16.897727477193804,543174.0
0.25,0.7333333333333333,0.0,87.34773377476294,12.652266225237058,594622.0
0.5,0.6833333333333333,53.56757291685409,27.676017057415837,18.75641002573007,600712.0
0.35000000000000003,0.7055555555555555,22.445885888047215,61.086870467999354,16.467243643953434,647482.0
0.2,0.7166666666666667,0.0,85.14178527088544,14.858214729114561,682894.0
0.4,0.6722222222222223,33.7045900282491,45.82426183493172,20.47114813681919,757642.0
0.15000000000000002,0.7,0.0,83.1022725228062,16.897727477193804,764506.0
0.3,0.6833333333333333,15.663853752451553,65.57973622181838,18.75641002573007,769238.0
0.45,0.65,49.78048473289311,26.629720927721902,23.589794339384998,810960.0
0.1,0.6833333333333332,0.0,81.24358997426994,18.75641002573007,838882.0
0.5,0.638888888888889,53.56757291685409,21.60111197077928,24.831315112366624,843802.0
0.05,0.6666666666666666,0.0,78.73355884628533,21.266441153714666,939322.0
0.35000000000000003,0.6444444444444444,22.445885888047215,53.65259010022131,23.90152401173147,944968.0
0.5,0.5944444444444444,53.56757291685409,18.614264893751013,27.818162189394897,963322.0
0.25,0.661111111111111,0.0,77.96660489051226,22.03339510948774,970012.0
0.45,0.6,49.78048473289311,22.582633103622,27.636882163484895,972906.0
0.4,0.6166666666666667,33.7045900282491,39.74395883189089,26.551451139860017,1000948.0
0.3,0.6166666666666667,15.663853752451553,57.784695107688435,26.551451139860017,1081160.0
0.2,0.6388888888888888,0.0,75.16868488763338,24.831315112366624,1081972.0
0.15000000000000002,0.6166666666666667,0.0,73.44854886013998,26.551451139860017,1150804.0
0.35000000000000003,0.5833333333333333,22.445885888047215,47.6370620940317,29.91705201792108,1185682.0
0.1,0.5944444444444444,0.0,72.1818378106051,27.818162189394897,1201492.0
0.25,0.5888888888888888,0.0,72.00820483293448,27.991795167065515,1208440.0
0.4,0.5611111111111111,33.7045900282491,29.590478075462872,36.70493189628804,1407244.0
0.05,0.5722222222222222,0.0,66.10018532846321,33.89981467153679,1444852.0
0.5,0.55,53.56757291685409,6.117188765136658,40.31523831800925,1463398.0
0.45,0.55,49.78048473289311,9.904276949097648,40.31523831800925,1480236.0
0.2,0.5611111111111111,0.0,63.29506810371197,36.70493189628804,1557100.0
0.3,0.55,15.663853752451553,44.0209079295392,40.31523831800925,1631924.0
0.45,0.5,49.78048473289311,3.787088183960991,46.4324270831459,1725018.0
0.35000000000000003,0.5222222222222223,22.445885888047215,33.9061122406751,43.648001871277685,1735132.0
0.4,0.5055555555555555,33.7045900282491,20.56066358385663,45.73474638789427,1768576.0
0.15000000000000002,0.5333333333333333,0.0,56.799575363909526,43.20042463609047,1817020.0
0.25,0.5166666666666666,0.0,55.47393706029473,44.52606293970528,1870066.0
0.3,0.4833333333333333,15.663853752451553,36.930294906166225,47.405851341382224,1915658.0
0.1,0.5055555555555555,0.0,54.265253612105724,45.73474638789427,1918432.0
0.35000000000000003,0.46111111111111114,22.445885888047215,28.984561959083795,48.569552152868994,1932070.0
0.4,0.45,33.7045900282491,16.075894704644007,50.21951526710689,1948036.0
0.2,0.48333333333333334,0.0,52.594148658617776,47.405851341382224,1985302.0
0.05,0.47777777777777775,0.0,51.870827860445864,48.129172139554136,2014246.0
0.15000000000000002,0.45,0.0,49.78048473289311,50.21951526710689,2097892.0
0.25,0.4444444444444444,0.0,49.77058855281861,50.22941144718139,2098288.0
0.3,0.41666666666666663,15.663853752451553,24.239793439732264,60.096352807816174,2423474.0
0.1,0.41666666666666663,0.0,39.90364719218382,60.096352807816174,2493118.0
0.35000000000000003,0.4,22.445885888047215,11.258704140201882,66.29540997175091,2641378.0
0.2,0.40555555555555556,0.0,35.06126635118844,64.93873364881156,2686888.0
0.05,0.3833333333333333,0.0,26.55100131349299,73.44899868650701,3027430.0
0.25,0.37222222222222223,0.0,24.60775140795653,75.39224859204347,3105190.0
0.3,0.35,15.663853752451553,6.78203213559566,77.55411411195279,3122054.0
0.15000000000000002,0.3666666666666667,0.0,24.026125915396655,75.97387408460334,3128464.0
0.2,0.3277777777777778,0.0,22.428792486100367,77.57120751389964,3192382.0
0.1,0.3277777777777778,0.0,22.428792486100367,77.57120751389964,3192382.0
0.25,0.3,0.0,15.663853752451553,84.33614624754846,3463084.0
0.15000000000000002,0.2833333333333333,0.0,8.922755816254925,91.07724418374508,3732832.0
0.05,0.28888888888888886,0.0,8.922755816254925,91.07724418374508,3732832.0
0.1,0.15000000000000002,0.0,0.0,100.0,4089880.0
0.15000000000000002,0.2,0.0,0.0,100.0,4089880.0
0.2,0.25,0.0,0.0,100.0,4089880.0
0.1,0.2388888888888889,0.0,0.0,100.0,4089880.0
0.05,0.19444444444444445,0.0,0.0,100.0,4089880.0
0.05,0.1,0.0,0.0,100.0,4089880.0
